CarModel,Brand,MakeYear,Kms Covered,Cylinder,Price
Mazda 3 Skyactiv Touring Sedan 2015,Mazda,2015,101000,2000,49900000
FORD Mustang Gt 350 1965,FORD,1965,46000,0,150000000
Mazda 3 Skyactiv Touring Sedan Aut 2019,Mazda,2019,33500,2000,66900000
Mazda CX-5 2.5 4x4 Automatica Grand Touring Lx 2020,Mazda,2020,24100,2500,119900000
Chevrolet NHR  2022,Chevrolet,2022,100,3000,95800000
Renault Logan Privilege 2019,Renault,2019,72000,1600,36000000
Mazda 3 2.0 Sedan Grand Touring 2018,Mazda,2018,40257,2000,69900000
Renault Duster Dynamique 4x4 Bvm 2019,Renault,2019,55875,2000,58000000
Renault Logan Privilege Aut 2018,Renault,2018,52300,1600,38900000
Volkswagen FOX Xtreme 2020,Volkswagen,2020,7000,1600,47990000
Mercedes Benz Clase Cla 200 Aut 2017,Mercedes Benz,2017,19863,1600,82990000
Hyundai Tucson Advance 4x2 Aut 2019,Hyundai,2019,10000,2000,83990000
BMW X5 Xdrive 35i Sport 2013,BMW,2013,112850,3000,73990000
Volvo Xc 90 2.5 T Automatica 2012,Volvo,2012,60620,2500,79990000
Nissan LEAF Electrico 2018,Nissan,2018,14106,0,74900000
Renault Nueva Master 16 Pasajeros 2019,Renault,2019,100279,2300,130000000
Dodge Durango 3.6 4x4 Limited 2015,Dodge,2015,51500,3600,87500000
Volvo Xc 60 Momentum 2.0 T5 4x4 Aut 2019,Volvo,2019,13450,2000,163990000
BMW Serie 5 520I 2012,BMW,2012,51950,2000,64500000
Mercedes Benz Clase M Ml 320 1998,Mercedes Benz,1998,122000,3200,24500000
Chevrolet Zafira 2.0 Mecanica 2008,Chevrolet,2008,153000,2000,23500000
Nissan Versa Advance Aut 2013,Nissan,2013,103500,1600,29500000
FORD Hot Rod Mecanico 1950,FORD,1950,99000,1600,25900000
Peugeot 405 Sri 2.0 Mecanico 1996,Peugeot,1996,178000,2000,9950000
Mitsubishi Outlander PHEV 2017,Mitsubishi,2017,49700,2000,117900000
Nissan Sentra 1.8 Exclusive Automatico 2015,Nissan,2015,51200,1800,48900000
FORD Fiesta Hb Aut Titanium 2017,FORD,2017,55500,1600,46900000
FORD Explorer Limited 2.3 2018,FORD,2018,37970,2300,132900000
KIA Rio Stylus 1.5 Nb. A.A. D.H 2011,KIA,2011,99500,1500,19750000
Chevrolet SAIL LS 2014,Chevrolet,2014,70000,1400,24500000
Chevrolet Sonic 1.6 Ls Hatchback Mecanico 2019,Chevrolet,2019,56000,1400,42500000
Chevrolet AVEO Family 1.5 Mecanico 2010,Chevrolet,2010,109000,1500,18350000
